Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,218.500000,220.000000,217.000000,218.500000,209.881775,17612296
2019-01-15,216.500000,221.000000,215.500000,221.000000,212.283157,38882923
2019-01-16,218.500000,220.000000,217.500000,217.500000,208.921219,28978282
2019-01-17,218.000000,221.000000,218.000000,220.500000,211.802887,21163986
2019-01-18,219.000000,220.000000,217.500000,218.500000,209.881775,49627569
2019-01-21,220.000000,223.000000,220.000000,221.000000,212.283157,29384866
2019-01-22,220.000000,223.000000,219.000000,223.000000,214.204285,28926483
2019-01-23,221.500000,222.000000,220.000000,220.500000,211.802887,16671213
2019-01-24,222.500000,222.500000,220.500000,222.500000,213.724014,26417924
2019-01-25,226.500000,227.000000,225.000000,226.000000,217.085953,46692764
2019-01-28,229.500000,229.500000,228.000000,229.000000,219.967636,26026257
2019-01-29,222.500000,225.000000,222.000000,222.500000,213.724014,41122520
2019-01-30,220.500000,221.500000,220.000000,221.000000,212.283157,44755945
2019-02-11,228.000000,229.000000,226.500000,228.000000,219.007080,78307106
2019-02-12,230.000000,230.000000,229.000000,230.000000,220.928177,29406670
2019-02-13,232.000000,232.000000,228.500000,229.000000,219.967636,28634925
2019-02-14,229.500000,230.000000,226.000000,227.000000,218.046524,23647751
2019-02-15,229.000000,229.000000,226.500000,227.000000,218.046524,22369799
2019-02-18,229.000000,230.500000,228.500000,230.000000,220.928177,16978916
2019-02-19,230.000000,230.500000,229.000000,229.000000,219.967636,16577023
2019-02-20,231.500000,234.500000,231.000000,234.500000,225.250687,30479710
2019-02-21,235.500000,236.500000,234.500000,236.500000,227.171799,33764489
2019-02-22,235.500000,236.500000,234.000000,236.500000,227.171799,22032163
2019-02-25,237.500000,239.000000,236.000000,238.000000,228.612656,24105138
2019-02-26,239.000000,240.000000,236.500000,239.500000,230.053482,24522789
2019-02-27,238.500000,239.500000,237.000000,239.000000,229.573212,35240889
2019-03-04,239.500000,239.500000,234.500000,235.500000,226.211243,39655513
2019-03-05,234.000000,234.500000,232.500000,233.000000,223.809860,22641407
2019-03-06,235.000000,235.500000,233.500000,234.000000,224.770416,20433226
2019-03-07,235.000000,235.000000,233.000000,234.000000,224.770416,17126192
2019-03-08,231.000000,231.500000,229.000000,230.000000,220.928177,22190659
2019-03-11,228.000000,230.500000,227.500000,230.500000,221.408463,23200793
2019-03-12,233.000000,237.000000,232.500000,235.500000,226.211243,23588085
2019-03-13,234.000000,237.000000,234.000000,237.000000,227.652084,20500195
2019-03-14,239.000000,239.000000,234.000000,234.500000,225.250687,17175356
2019-03-15,237.000000,239.500000,235.500000,239.000000,229.573212,33649729
2019-03-18,239.500000,241.000000,239.000000,241.000000,231.494308,26856532
2019-03-19,239.000000,240.500000,238.000000,240.500000,231.014038,14479009
2019-03-20,242.000000,242.000000,239.500000,242.000000,232.454865,22975971
2019-03-21,242.500000,245.500000,241.000000,245.500000,235.816818,26179502
2019-03-22,248.000000,248.500000,244.500000,248.500000,238.698502,22931467
2019-03-25,240.500000,243.500000,240.500000,241.500000,231.974594,19211254
2019-03-26,243.000000,244.000000,241.000000,244.000000,234.375992,19920170
